"Login as Customer","Login as Customer"
"Login as Customer Logs","Login as Customer Logs"
"Module is not enabled.","Module is not enabled."
"Customer does not exist.","Customer does not exist."
"Cannot truncate cart items.","Cannot truncate cart items."
"An unspecified error occurred. Please contact us for assistance.","An unspecified error occurred. Please contact us for assistance."
"Allow Login as Customer","Allow Login as Customer"
"Mageplaza Login as Customer","Mageplaza Login as Customer"
General,General
Enable,Enable
"Select Yes to enable this module","Select Yes to enable this module"
ID,ID
"Logged In At","Logged In At"
Admin,Admin
Customer,Customer
